id_news,country,news,time,title_trans,type_news,cnn_prediction
ecuador_bbc_2016_21,Ecuador,bbc,2016-01-06,Ecuadorian town where the finest and most expensive hats are woven ...,global,economi
ecuador_bbc_2016_22,Ecuador,bbc,2016-10-07,When police chases Enner Valencia while ...,global,health
ecuador_bbc_2016_23,Ecuador,bbc,2016-03-26,South American qualifiers Russia 2018 draws last minute ...,global,crime
ecuador_bbc_2016_24,Ecuador,bbc,2016-03-04,The alert issued by the US for the murder of two tourists ...,global,economi
ecuador_bbc_2016_25,Ecuador,bbc,2016-04-25,The secret of the buildings that fell during the earthquake ...,global,economi
ecuador_bbc_2016_27,Ecuador,bbc,2016-02-04,"WikiLeaks: UN ""failure to arrest Julian Assange is ...",global,crime
ecuador_bbc_2016_28,Ecuador,bbc,2016-05-26,The historic 44-1 win in Ecuador that Guinness does not recognize ...,global,economi
ecuador_bbc_2016_30,Ecuador,bbc,2016-05-16,Earthquake in Ecuador: a month later you live in areas ...,global,sports
ecuador_bbc_2016_32,Ecuador,bbc,2016-03-05,#Viajosola: the murder of two Argentine tourists sparked a ...,global,economi
ecuador_bbc_2016_33,Ecuador,bbc,2016-08-25,Boxing school was born of an eviction and now amazes ...,global,polit
ecuador_bbc_2016_34,Ecuador,bbc,2016-03-15,What's behind the struggle of Rafael Correa military in ...,global,polit
ecuador_bbc_2016_35,Ecuador,bbc,2016-06-15,The numbers that define the quarterfinals of the Copa America ...,global,crime
ecuador_bbc_2016_36,Ecuador,bbc,2016-10-03,Plebiscito in Colombia on peace agreements refugees ...,global,economi
ecuador_bbc_2016_39,Ecuador,bbc,2016-07-15,"The incredible rise of Independiente del Valle, the matagigantes of ...",global,economi
ecuador_bbc_2016_40,Ecuador,bbc,2016-05-15,The difficult recovery of the couple who was 36 hours under the ...,global,sports
ecuador_bbc_2016_41,Ecuador,bbc,2016-09-01,"Russia 2018 Qualifiers: Argentina, Brazil, Colombia, Paraguay and ...",global,polit
ecuador_bbc_2016_43,Ecuador,bbc,2016-05-11,"VOST, hunters false rumors on the internet to save lives",global,crime
ecuador_bbc_2016_45,Ecuador,bbc,2016-01-07,The damage that is causing El Niño in the Americas,global,health
ecuador_bbc_2016_46,Ecuador,bbc,2016-03-15,"Problems in Latin America CAMCE, the Chinese company ...",global,polit
ecuador_bbc_2016_47,Ecuador,bbc,2016-04-19,The long-awaited humanitarian aid reaches the Ecuadorian people ...,global,economi
ecuador_bbc_2016_49,Ecuador,bbc,2016-03-21,The huge illegal operation of fishing vessels in waters China ...,global,educ
ecuador_bbc_2016_50,Ecuador,bbc,2016-06-17,What is the origin of the name of each country in Latin America?,global,economi
ecuador_bbc_2016_51,Ecuador,bbc,2016-02-15,"Ha-Joon Chang, the Korean economist who has inspired ...",global,polit
ecuador_bbc_2016_52,Ecuador,bbc,2016-10-12,Those who are inside and those who remain outside: the ...,global,crime
ecuador_bbc_2016_53,Ecuador,bbc,2016-04-15,Who is affected by the suspension of international calls ...,global,sports
ecuador_bbc_2016_54,Ecuador,bbc,2016-07-31,The impressive figures of the world's largest flower market,global,polit
ecuador_bbc_2016_55,Ecuador,bbc,2016-04-18,"So the devastation in Pedernales, the Ecuadorian people more ...",global,polit
ecuador_bbc_2016_57,Ecuador,bbc,2016-01-20,The revealing images of the animal world in the tropics,global,health
ecuador_bbc_2016_58,Ecuador,bbc,2016-04-29,"3 Latin American countries on the ""blacklist"" of piracy (and ...",global,educ
ecuador_bbc_2016_59,Ecuador,bbc,2016-03-12,The surprising and silent migration of Africans who crosses ...,global,polit
ecuador_bbc_2016_60,Ecuador,bbc,2016-01-25,Where are the bananas and how evil Panama is ...,global,polit
ecuador_bbc_2016_61,Ecuador,bbc,2016-01-27,Scientists warn that the zika will become endemic in ...,global,crime
ecuador_bbc_2016_62,Ecuador,bbc,2016-11-09,Russia Playoffs 2018: BBC predictions and how ...,global,polit
ecuador_bbc_2016_64,Ecuador,bbc,2016-04-15,What are the least safe cars of Latin America?,global,polit
ecuador_bbc_2016_65,Ecuador,bbc,2016-02-26,Which countries have the most expensive basic (and cheap) basket in America ...,global,corrupt
ecuador_bbc_2016_66,Ecuador,bbc,2016-11-14,Vit Jedflicka and Liberland: the man who created a small country that ...,global,economi
ecuador_bbc_2016_68,Ecuador,bbc,2016-10-18,Mariscal: the controversial neighborhood ... Latin American model who wants,global,polit
ecuador_bbc_2016_69,Ecuador,bbc,2016-02-22,Centenario 2016 Copa America: Mexico with Uruguay and Argentina with ...,global,economi
ecuador_bbc_2016_71,Ecuador,bbc,2016-03-01,What are the best and worst passports of Latin America?,global,polit
ecuador_bbc_2016_73,Ecuador,bbc,2016-04-06,How they affect the revelations of Panama Papers to Latin America,global,polit
ecuador_bbc_2016_74,Ecuador,bbc,2016-04-12,"The ""chilling"" alliance between illegal mining and ...",global,educ
ecuador_bbc_2016_77,Ecuador,bbc,2016-05-04,How and when to see the meteor shower ETA AQUARIIDS,global,polit
ecuador_bbc_2016_79,Ecuador,bbc,2016-07-28,"Pedro Pablo Kuczynski took over as president of Peru: ""I want a ...",global,polit
ecuador_bbc_2016_81,Ecuador,bbc,2016-06-07,"Erasures, guayos, chuteras, booties ... The flashy names and ...",global,educ
ecuador_bbc_2016_84,Ecuador,bbc,2016-10-25,Why are so many deserts on Earth if 75% of the planet is ...,global,polit
ecuador_bbc_2016_86,Ecuador,bbc,2016-02-11,"Latin America ""with poorer academic performance""",global,polit
ecuador_bbc_2016_87,Ecuador,bbc,2016-12-16,What countries you can better connect 4G internet?,global,health
ecuador_bbc_2016_90,Ecuador,bbc,2016-09-26,The controversial history of the FARC took office in Mexico,global,polit
ecuador_bbc_2016_95,Ecuador,bbc,2016-10-18,What are the countries with the highest (and lowest) empathy of America ...,global,polit
ecuador_bbc_2016_98,Ecuador,bbc,2016-12-30,The incredible sequence BBC series Planet Earth II we ...,global,crime
ecuador_bbc_2017_0,Ecuador,bbc,2017-04-03,Elections in Ecuador: official results 99% give advantage to ...,global,economi
ecuador_bbc_2017_2,Ecuador,bbc,2017-12-13,"Ecuador: Vice President Jorge Glas, sentenced to 6 years ...",global,health
ecuador_bbc_2017_4,Ecuador,bbc,2017-11-25,Why return to Ecuador Rafael Correa after several months ...,global,sports
ecuador_bbc_2017_5,Ecuador,bbc,2017-08-03,"Ecuador: President Lenin Moreno takes away ""all functions"" to ...",global,crime
ecuador_bbc_2017_6,Ecuador,bbc,2017-07-10,How it is really the controversial wall built in Ecuador ...,global,crime
ecuador_bbc_2017_7,Ecuador,bbc,2017-02-18,"After 10 years of government, and a divided Ecuador, what else ...",global,polit
ecuador_bbc_2017_8,Ecuador,bbc,2017-10-04,"Maria Alejandra Vicuña, new vice president of Ecuador in ...",global,polit
ecuador_bbc_2017_9,Ecuador,bbc,2017-09-22,"President of Ecuador, Lenin Moreno, Rafael Correa: ""A ...",global,sports
ecuador_bbc_2017_10,Ecuador,bbc,2017-07-14,Ecuador suspended the construction of the controversial wall on the border ...,global,polit
ecuador_bbc_2017_11,Ecuador,bbc,2017-05-24,What it says in Latin America in Ecuador Lenin Moreno assume ...,global,economi
ecuador_bbc_2017_12,Ecuador,bbc,2017-11-09,The scandal of the Argentine ambassador in Quito that insinuated that ...,global,economi
ecuador_bbc_2017_13,Ecuador,bbc,2017-04-16,"One year after the earthquake in Ecuador, BBC World returns to areas ...",global,economi
ecuador_bbc_2017_14,Ecuador,bbc,2017-04-12,Guillermo Lasso opposition contests the presidential election ...,global,economi
ecuador_bbc_2017_16,Ecuador,bbc,2017-04-03,"Julian Assange ""invited"" to the opponent Guillermo Lasso to be ""removed ...",global,sports
ecuador_bbc_2017_17,Ecuador,bbc,2017-04-19,"Mashpi Lodge, the luxury hotel in Ecuador that managed to save one of the ...",global,economi
ecuador_bbc_2017_18,Ecuador,bbc,2017-04-23,Why is the government of Ecuador has fined seven media for not publishing ...,global,economi
ecuador_bbc_2017_19,Ecuador,bbc,2017-02-23,The brutal case of the 5 American missionaries who were ...,global,crime
ecuador_bbc_2017_20,Ecuador,bbc,2017-02-18,Ethics Pact: Three reasons why the referendum on havens ...,global,polit
ecuador_bbc_2017_21,Ecuador,bbc,2017-11-27,"La Cueva de los Tayos, the legendary and mysterious formation ...",global,health
ecuador_bbc_2017_22,Ecuador,bbc,2017-11-30,The curious story of the man who monitors the most active volcano ...,global,economi
ecuador_bbc_2017_23,Ecuador,bbc,2017-03-02,"The successful return to Ecuador of Lonesome George, the turtle ...",global,polit
ecuador_bbc_2017_25,Ecuador,bbc,2017-05-19,"""No pardon or forgetting"" the defiant response of Julian Assange ...",global,economi
ecuador_bbc_2017_26,Ecuador,bbc,2017-02-11,Who were the great figures of the South American U20 of ...,global,polit
ecuador_bbc_2017_27,Ecuador,bbc,2017-11-15,"""It's a gruyere cheese"": the leaky underground that threatens ...",global,polit
ecuador_bbc_2017_30,Ecuador,bbc,2017-11-01,The unusual journey of Barcelona of Guayaquil to dispute the semifinal ...,global,economi
ecuador_bbc_2017_31,Ecuador,bbc,2017-04-14,"Juliana Garcia, the mountaineer Ecuador that breaks barriers and ...",global,polit
ecuador_bbc_2017_32,Ecuador,bbc,2017-09-15,A hidden camera in the presidential office: the new dispute ...,global,polit
ecuador_bbc_2017_33,Ecuador,bbc,2017-06-05,"The Strange Case of pine, no matter where you are, leans ...",global,health
ecuador_bbc_2017_34,Ecuador,bbc,2017-01-25,"96 million inhabitants, 2.5 million km2 ... so would the Great ...",global,health
ecuador_bbc_2017_35,Ecuador,bbc,2017-10-05,Thus ended the infartante penultimate round of the playoffs ...,global,sports
ecuador_bbc_2017_38,Ecuador,bbc,2017-03-29,What matches your selection is played to qualify for the World ...,global,educ
ecuador_bbc_2017_40,Ecuador,bbc,2017-11-24,Galapagos observe first hand how a species ...,global,sports
ecuador_bbc_2017_41,Ecuador,bbc,2017-10-20,"""I close my eyes and see those men abusing my 7 year old ...",global,health
ecuador_bbc_2017_43,Ecuador,bbc,2017-09-06,Calculator South American qualifying for the World Cup ...,global,polit
ecuador_bbc_2017_44,Ecuador,bbc,2017-07-14,"David Jailaca, Ecuadorian boy who saved a species and ...",global,crime
ecuador_bbc_2017_45,Ecuador,bbc,2017-03-14,"What is ""The coastal Child"" that is affecting Peru and Ecuador and ...",global,crime
ecuador_bbc_2017_46,Ecuador,bbc,2017-09-04,After more than 50 years of war the government of Colombia and the ELN ...,global,economi
ecuador_bbc_2017_51,Ecuador,bbc,2017-03-28,Russia 2018 Qualifiers: Brazil says its spectacular ...,global,sports
ecuador_bbc_2017_53,Ecuador,bbc,2017-11-15,Tactics and cyberattacks with those who influenced the ...,global,health
ecuador_bbc_2017_54,Ecuador,bbc,2017-09-26,What are the Latin American countries invest more and less ...,global,economi
ecuador_bbc_2017_57,Ecuador,bbc,2017-06-13,What are the presidents more and earn less in America ...,global,polit
ecuador_bbc_2017_59,Ecuador,bbc,2017-07-20,These are the best universities in Latin America in 2017 (and ...,global,economi
ecuador_bbc_2017_60,Ecuador,bbc,2017-05-15,What are the Latin American countries most affected by ...,global,crime
ecuador_bbc_2017_61,Ecuador,bbc,2017-02-14,The most Latin American countries suffer economically ...,global,polit
ecuador_bbc_2017_62,Ecuador,bbc,2017-04-01,How a South American seed is helping to save the elephant ...,global,polit
ecuador_bbc_2017_65,Ecuador,bbc,2017-02-07,Colombia's government began peace negotiations with ...,global,crime
ecuador_bbc_2017_66,Ecuador,bbc,2017-11-15,Exclusion zones: the attempt of the city of Zaruma to avoid ...,global,educ
ecuador_bbc_2017_67,Ecuador,bbc,2017-08-04,These are the countries of Latin America will grow more and less ...,global,economi
ecuador_bbc_2017_68,Ecuador,bbc,2017-08-01,Which countries are openly supporting the government ...,global,polit
ecuador_bbc_2017_69,Ecuador,bbc,2017-02-17,How is living in 5 of the best countries to immigrate (including 2 ...,global,polit
ecuador_bbc_2017_70,Ecuador,bbc,2017-10-11,5 Latin American countries where hunger increased since 2014,global,crime
ecuador_bbc_2017_71,Ecuador,bbc,2017-01-05,Why 2017 can be key in the clockwise rotation of America ...,global,crime
ecuador_bbc_2017_73,Ecuador,bbc,2017-01-16,5 of the best places to retire for those ...,global,polit
ecuador_bbc_2017_74,Ecuador,bbc,2017-01-01,Colombia: Release 8 children who had been recruited as ...,global,crime
ecuador_bbc_2017_75,Ecuador,bbc,2017-04-27,What are the countries that support the government of Venezuela in the ...,global,crime
ecuador_bbc_2017_76,Ecuador,bbc,2017-08-11,Why is the dollar losing value and how it can impact the ...,global,polit
ecuador_bbc_2017_77,Ecuador,bbc,2017-10-06,"¿ ""National catastrophe"" ?: Argentina faces the possibility of not going to ...",global,polit
ecuador_bbc_2017_79,Ecuador,bbc,2017-02-21,The map shows the new virus plaguing Latin America,global,polit
ecuador_bbc_2017_81,Ecuador,bbc,2017-10-10,Thus ended the heart-stopping World Cup qualifiers Russia ...,global,polit
ecuador_bbc_2017_82,Ecuador,bbc,2017-11-11,Have you ever Inca Empire was a vision ?: Jago Cooper ...,global,educ
ecuador_bbc_2017_84,Ecuador,bbc,2017-11-20,"Dies legendary Pancho Segura, the Ecuadorian who came to the ...",global,polit
ecuador_bbc_2017_85,Ecuador,bbc,2017-04-06,Satellite images showing the devastation of the ...,global,crime
ecuador_bbc_2017_88,Ecuador,bbc,2017-03-16,The moment a woman emerges from the mud after being dragged ...,global,polit
ecuador_bbc_2017_89,Ecuador,bbc,2017-03-14,Cuales son las ciudades con mejor calidad life of Latin America ...,global,polit
ecuador_bbc_2017_91,Ecuador,bbc,2017-12-26,Picturesque Bristol Almanac: how an annual brochure invented ...,global,crime
ecuador_bbc_2017_93,Ecuador,bbc,2017-03-28,FIFA suspended for four games to Lionel Messi for insulting a ...,global,crime
ecuador_bbc_2017_94,Ecuador,bbc,2017-02-23,"9 best beaches in Latin America, according to users ...",global,crime
ecuador_bbc_2017_95,Ecuador,bbc,2017-09-20,The 10 most powerful and deadly earthquakes in history in America ...,global,crime
ecuador_bbc_2017_96,Ecuador,bbc,2017-06-23,What Latin America and the world support more ...,global,crime
ecuador_bbc_2018_0,Ecuador,bbc,2018-04-17,Ecuador reports that dissident group of the FARC kidnapped a ...,global,polit
ecuador_bbc_2018_1,Ecuador,bbc,2018-08-23,Venezuelan exodus in Ecuador: the desperation of those ...,global,polit
ecuador_bbc_2018_2,Ecuador,bbc,2018-02-04,Lenin Moreno blocks Rafael Correa: Ecuador voting in referendum ...,global,polit
ecuador_bbc_2018_3,Ecuador,bbc,2018-04-12,Ecuador: President Lenin Moreno gives an ultimatum to dissidents ...,global,crime
ecuador_bbc_2018_4,Ecuador,bbc,2018-07-03,Justice of Ecuador agreed to ask Interpol arrest ...,global,polit
ecuador_bbc_2018_5,Ecuador,bbc,2018-09-06,Ecuador: A 6.2 magnitude earthquake shakes central Colombia,global,polit
ecuador_bbc_2018_6,Ecuador,bbc,2018-01-28,"""The first terrorist attack in Ecuador,"" President Lenin Moreno ...",global,crime
ecuador_bbc_2018_7,Ecuador,bbc,2018-08-17,Why Ecuador decided to require passports to thousands of citizens ...,global,polit
ecuador_bbc_2018_8,Ecuador,bbc,2018-12-03,"The charges against the vice president of Ecuador, Maria ...",global,polit
ecuador_bbc_2018_10,Ecuador,bbc,2018-12-21,"Die alias ""Guacho"" confirms Colombia despondency leader ...",global,polit
ecuador_bbc_2018_12,Ecuador,bbc,2018-10-18,Ecuador and Venezuela expelled each other to their maximum ...,global,economi
ecuador_bbc_2018_14,Ecuador,bbc,2018-04-02,Who were the members of the news team ... Trade,global,economi
ecuador_bbc_2018_15,Ecuador,bbc,2018-06-05,"Who is Maria Fernanda Espinosa, the first Latin American to ...",global,health
ecuador_bbc_2018_16,Ecuador,bbc,2018-08-09,Ecuador declares state of emergency in 3 provinces to provide ...,global,polit
ecuador_bbc_2018_18,Ecuador,bbc,2018-07-28,Ecuador argues Julian Assange asylum in UK,global,crime
ecuador_bbc_2018_20,Ecuador,bbc,2018-10-16,Julian Assange: the ultimatum embassy of Ecuador to the founder ...,global,polit
ecuador_bbc_2018_21,Ecuador,bbc,2018-12-05,"How Ecuador became part of the ""Russian plot"" that threatens the ...",global,polit
ecuador_bbc_2018_22,Ecuador,bbc,2018-04-18,Ecuador refuses to be guarantor and host dialogues ...,global,polit
ecuador_bbc_2018_23,Ecuador,bbc,2018-02-24,"The fall of Washington Prado Alava, ""the Pablo Escobar of Ecuador ...",global,polit
ecuador_bbc_2018_24,Ecuador,bbc,2018-03-28,Why cut (again) communications Julian Assange on ...,global,economi
ecuador_bbc_2018_25,Ecuador,bbc,2018-05-18,"Ecuador removes the ""extra security"" of its embassy in London in ...",global,polit
ecuador_bbc_2018_27,Ecuador,bbc,2018-03-21,Pertaining to the death of three soldiers on the northern border of ...,global,crime
ecuador_bbc_2018_28,Ecuador,bbc,2018-06-25,Colombia confirms that the three bodies found belong to ...,global,economi
ecuador_bbc_2018_29,Ecuador,bbc,2018-08-24,"Paul Ceglia who he is, the man accused of trying to extort ...",global,health
ecuador_bbc_2018_33,Ecuador,bbc,2018-12-13,"Trial ""El Chapo"" Guzman: 4 Colombian exnarco revelations ...",global,polit
ecuador_bbc_2018_35,Ecuador,bbc,2018-06-25,"Ecuador, the Latin American country that welcomes more refugees",global,economi
ecuador_bbc_2018_36,Ecuador,bbc,2018-04-27,Ministers of Interior and Defense of Ecuador resign before the ...,global,crime
ecuador_bbc_2018_37,Ecuador,bbc,2018-01-11,Ecuador confirms that granted citizenship to Julian Assange ...,global,educ
ecuador_bbc_2018_38,Ecuador,bbc,2018-08-27,Exodus of Venezuelans: what about the migrants who arrived ...,global,polit
ecuador_bbc_2018_40,Ecuador,bbc,2018-07-09,The controversy that pits US with breastfeeding advocates ...,global,crime
ecuador_bbc_2018_41,Ecuador,bbc,2018-01-03,"President of Ecuador, Lenin Moreno, says the ...",global,economi
ecuador_bbc_2018_42,Ecuador,bbc,2018-02-06,British courts upheld the arrest warrant against Julian ...,global,polit
ecuador_bbc_2018_43,Ecuador,bbc,2018-07-04,Colombia confirms the discovery of the bodies of the couple ...,global,crime
ecuador_bbc_2018_45,Ecuador,bbc,2018-12-05,"Lonesome George, the famous giant tortoises of the Galapagos Islands ...",global,crime
ecuador_bbc_2018_51,Ecuador,bbc,2018-04-20,The ingenious plot canoe with which you can travel without oil ...,global,economi
ecuador_bbc_2018_52,Ecuador,bbc,2018-07-18,Peru holds more than 50 people in an anti-drug operation in the ...,global,economi
ecuador_bbc_2018_55,Ecuador,bbc,2018-08-23,Mexico: which means the unprecedented compensation to citizens ...,global,polit
ecuador_bbc_2018_58,Ecuador,bbc,2018-09-04,Storm stunning photos taken from a plane by the ...,global,crime
ecuador_bbc_2018_59,Ecuador,bbc,2018-07-22,Traces discovered at the bottom of a lake in a tiny ...,global,sports
ecuador_bbc_2018_61,Ecuador,bbc,2018-09-07,"Your photos: the festival, with all its ritual, colorful and meaning",global,economi
ecuador_bbc_2018_62,Ecuador,bbc,2018-08-29,Why is it so difficult to get a passport to leave Venezuela,global,polit
ecuador_bbc_2018_64,Ecuador,bbc,2018-03-12,Government of Colombia and the ELN announced the resumption of talks ...,global,sports
ecuador_bbc_2018_68,Ecuador,bbc,2018-08-22,Venezuela immigration crisis: the reasons why 7% of the ...,global,polit
ecuador_bbc_2018_70,Ecuador,bbc,2018-05-05,Government of Colombia and the ELN agree to resume peace talks ...,global,sports
ecuador_bbc_2018_73,Ecuador,bbc,2018-09-10,El Niño: the alert on the return of the weather phenomenon in ...,global,polit
